name|orcid|month_of_birth|year_of_birth|mail
Tatiana E. Romanova|4708-2141-7238-6397|6|1963|yzOOnfl@outlook.it
Hong Va Leong|0000-0001-7682-9032|2|1956|pHEkTY@tiscali.it
Mimoun Malki|0000-0003-4466-2316|1|1986|ciFTvIo@outlook.it
Claudio Sterle|5467-8238-5232-4444|1|1968|fzKGji@tiscali.it
Simant Dube|6148-9516-3235-6516|6|1983|mEkJFt@outlook.it
Bartek Kiepuszewski|7959-1435-5495-6903|11|1964|btLENZt@tiscali.it
Xiaoyuan Xie|6348-5351-0608-4057|12|1972|zYSTTF@duck.com
Elie F. Kfoury|5916-1700-4622-0634|3|1972|kFaWQx@duck.com
Etienne E. Kerre|9260-2874-2092-7730|10|1958|IFyPJo@tiscali.it
Frédéric DuBru|8740-7066-7926-1724|3|1981|mqWwK@outlook.it
Rongquen Chen|1821-3830-2048-5304|1|1947|AnvgXP@tiscali.it
Marcos K. Aguilera|5584-1181-2896-6872|12|1947|UjLlKf@tiscali.it
Mourad Chabane Oussalah|1717-6236-5962-4394|3|1967|lvDRkH@tiscali.it
Jun Wang 0002|0000-0002-1305-5735|4|1951|hMCfs@duck.com
Vikas Kumar 0005|9275-9751-8182-2536|9|1942|XSByB@duck.com
Carolyn B. Seaman|1971-5568-8607-4445|3|1986|Tjruh@tiscali.it
Parvathi Chundi|0389-4711-2295-1194|11|1957|KGrPr@tiscali.it
Yuri Malitsky|7357-1786-6980-0795|4|1968|eudAIAE@gmail.com
Heinrich Wansing|0000-0002-0749-8847|9|1942|wRcbQhg@gmail.com
Rose Lockwood|1833-4918-5024-9587|5|1973|fLxEAL@outlook.it
Domenico Saccà|0635-4445-5654-4966|11|1975|BEDEd@outlook.it
Gilad Zlotkin|7197-2954-7778-4068|1|1946|IPmWqvm@tiscali.it
Carlotta Domeniconi|3745-1581-8995-5905|10|1979|nFeuQP@mail.polimi.it
Rudi Studer|2225-5965-0563-9336|6|1959|ioptI@duck.com
Antanas Verikas|0000-0003-2185-8973|10|1965|MknVQ@outlook.it
Irina Perfilieva|4362-4652-1545-1194|9|1979|MKWpl@duck.com
Beata Beigman Klebanov|3980-9466-7643-3737|11|1977|lsAWfc@mail.polimi.it
Parisa Allahverdizadeh|4523-8378-6579-0712|7|1978|muxMLb@mail.polimi.it
Ralf Jungclaus|6799-7286-9838-0847|11|1942|RcWKQ@tiscali.it
Victor C. M. Leung|3494-6233-7742-7222|6|1942|eixIGLI@mail.polimi.it
Jing Xiao 0001|1414-5303-4227-4420|3|1977|hFuDdW@gmail.com
J. Alfonso Briones-García|6779-7269-4770-1764|2|1940|obWpcuO@tiscali.it
Bernhard Thalheim|1837-0249-6579-8350|9|1981|oMmCewH@outlook.it
Seo-Young Noh|0957-5297-8272-8343|12|1972|cqYIthm@tiscali.it
Ciro Castiello|9561-4852-3493-4512|4|1960|oqQva@gmail.com
Anders Kolstad|3885-6781-6055-6481|3|1988|atbayq@outlook.it
Donggang Liu|1805-7219-8641-6951|6|1974|sQelZv@duck.com
Joseph A. Goguen|4907-7424-4767-6271|8|1981|wdoTA@gmail.com
Brian A. Nixon|7580-0832-5035-1951|1|1940|WXnyj@outlook.it
Mark Greaves|0526-7070-9857-3436|10|1986|QaGRAtj@tiscali.it
Mario Barbacci|3973-4082-7900-6046|6|1963|bUqvbX@duck.com
Dipankar Deb|7778-0338-9981-2635|6|1961|xsiIWx@gmail.com
Martin Gaedke|0000-0002-6729-2912|1|1955|aYOiIa@duck.com
Philippe Cudré-Mauroux|3048-8108-3505-9171|6|1955|Praez@tiscali.it
Maroun Chamoun|2110-7903-8545-1611|9|1952|yHhlaw@gmail.com
Michael Behringer|7717-4203-8781-1510|12|1957|ErvXf@mail.polimi.it
Jacques Savoy|0268-0442-5047-8387|11|1955|XXhYq@mail.polimi.it
D. Sundararajan|9903-3389-2796-2253|6|1987|fNoQFid@outlook.it
Mohsen Sharifi|0000-0003-4992-2500|6|1973|lXUUvZJ@mail.polimi.it
Sergio Serusi|3070-6953-3452-4112|9|1948|vvsLQlW@tiscali.it
Jun Fu 0001|2880-0271-3020-1662|4|1965|TeEPKIw@gmail.com
Rajiv Ranjan|0000-0002-6610-1328|7|1987|vkfYGTD@mail.polimi.it
Susanna Spinsante|0000-0002-7323-4030|12|1943|GkGUCIg@tiscali.it
Kun Xie 0002|0000-0002-8191-2786|8|1946|jhYpHuH@outlook.it
Jeffrey P. Bigham|7645-8795-1192-2616|7|1946|kiDFe@mail.polimi.it
Boris Ryabko|5895-7716-1483-7742|5|1970|KJLMON@gmail.com
Liyang Xiao|0000-0003-0160-5450|6|1965|bsEMpI@mail.polimi.it
Raphaël Troncy|5695-4274-5957-5606|1|1949|VYaQwwY@tiscali.it
Werner Nutt|0000-0002-9347-1885|11|1977|AuuhUL@outlook.it
María Luisa Martín Ruiz|0493-6341-8524-8347|11|1942|PSeoQLC@mail.polimi.it
Jaime Lloret 0001|9079-0491-3791-0683|9|1954|NIOHhUM@outlook.it
Disha Sangar|9948-7602-2623-8986|5|1976|DRZNrdv@gmail.com
Ke Xu 0002|9246-3267-8393-7058|7|1975|kDjcEuC@mail.polimi.it
Frank Y. Shih|5912-2499-2751-6552|2|1975|RGsKMw@tiscali.it
John Barnes|0971-7192-3348-5154|1|1978|QQRNQM@mail.polimi.it
Kemafor Anyanwu|0000-0002-9528-061X|7|1948|DEbLE@duck.com
Reidar Conradi|6037-5310-1302-4469|10|1966|YknZr@outlook.it
Nacer Boudjlida|5777-2486-9529-4896|6|1964|VVWlAm@tiscali.it
Simo Pöysä|1353-5188-8163-7242|4|1981|rHwHh@mail.polimi.it
Shai Guday|6865-3492-7159-5507|9|1959|JpEIP@outlook.it
David Bermbach|0618-0766-3158-3924|1|1943|JnWaho@gmail.com
Awais Rashid|7822-8177-6730-8133|2|1969|YTTQY@duck.com
Derrick L. Cogburn|0637-7513-7140-7783|10|1955|bNxsDUX@mail.polimi.it
S. Jacobi|3435-5190-3845-0864|5|1952|mZGCZHr@duck.com
Philippe Besnard|8147-1529-7257-9147|9|1958|nHZfmWa@duck.com
Thierry Villemur|7295-2147-7717-5156|7|1971|VyQhkSs@outlook.it
Corey Bufi|5414-9962-6004-3356|11|1963|gfdYAC@duck.com
Basel Solaiman|1894-9398-0022-4891|3|1961|ZCmGOZ@outlook.it
Adil Fahad|9359-6382-5312-5916|1|1958|vVzMRW@outlook.it
Jean-Louis Lanet|7945-4869-2276-0857|2|1973|EjBrG@gmail.com
Matteo Matteucci|4227-1581-0211-6172|11|1943|BLXVeC@outlook.it
Zakaria Aarab|4305-4898-3357-5457|5|1944|EBnmc@mail.polimi.it
Zahi Jarir|0000-0002-6425-1031|11|1956|TpNnZ@duck.com
Luca Casini|0000-0002-3468-6974|8|1983|QMvQL@duck.com
William McCune|5715-6095-5213-0415|9|1967|heydw@duck.com
Eric Yu 0001|4606-0614-4308-8203|12|1979|mSwitwP@mail.polimi.it
Jacques Chabin|3363-7182-2415-0872|10|1950|WGqOO@mail.polimi.it
Eric R. Schendel|0000-0002-0144-7256|2|1963|OVKZs@gmail.com
Eric G. Manning|6351-0352-2959-1829|3|1972|MpbkPuA@tiscali.it
Henrik Loeser|5326-7802-4724-3011|4|1950|qcrdmkE@outlook.it
Maxence Guesdon|2319-1838-4662-1184|8|1944|QTfHmT@duck.com
Jian Yang 0001|5124-0177-5062-6703|5|1987|EEyYTYW@duck.com
Emanuele De Bernardi|0000-0001-6988-1721|4|1978|CWLDXf@duck.com
Slim Abdellatif|3330-6210-0107-2124|12|1947|xsJwIpK@tiscali.it
Lei Zhang 0038|3324-6660-4729-9978|11|1959|PXiwyR@tiscali.it
Maomeng Su|0839-5901-6736-9753|5|1955|lGtXOu@mail.polimi.it
Hang Zhao|1425-4520-0138-9663|2|1950|ZQtOos@outlook.it
Debora Di Bartolo|8958-4142-3625-8650|6|1969|ffGTowY@mail.polimi.it
Andrzej Jodlowski|2152-8168-4406-0200|8|1951|YNxmy@mail.polimi.it
Robert Valette|6090-5538-1091-2452|7|1953|VjsGYM@tiscali.it
N. Parameswaran|5836-1694-8232-9265|4|1955|MiOsixk@mail.polimi.it
Willy Susilo|0000-0002-1562-5105|3|1953|iGUJT@tiscali.it
Oliver Günther 0001|4851-0704-6038-1482|6|1976|sDlsF@outlook.it
Md. Imran Alam|7451-3757-9240-4181|6|1973|miDKKmV@mail.polimi.it
Ipek Gursel Dino|7784-0592-6377-8738|11|1949|zZZTG@mail.polimi.it
Antonieta Martínez-Velasco|0000-0001-6535-1440|9|1958|aOfaT@tiscali.it
Scott D. Rudlosky|8141-6680-3951-1158|8|1989|EotIdmH@outlook.it
Da Ruan 0001|1861-0162-4350-7946|3|1980|krffJ@duck.com
Zhong Li|4970-1819-3746-6387|4|1988|cARWG@outlook.it
Ryan Cook|2315-0053-9575-5375|2|1961|vSOtM@duck.com
A. Christy|2471-3324-3942-7689|6|1975|ijmfrv@gmail.com
Sharad Mehrotra|0282-0805-4873-1307|10|1988|yhdpUV@outlook.it
Chi C. Ying|4569-8642-5879-9503|4|1964|yxROH@tiscali.it
Hans-Jürgen Bürckert|8515-2926-4773-7315|10|1951|EFvtd@outlook.it
Leonardo Andrade Ribeiro|4278-0766-9662-6206|4|1988|BOtADAU@mail.polimi.it
Xingquan Zhu 0001|4674-0116-1032-4196|8|1940|viGosO@gmail.com
Shogo Nishida|6110-7151-4726-0842|6|1946|rBRho@gmail.com
Michael A. Arbib|0286-1248-4622-8778|6|1950|kvBqn@mail.polimi.it
David Buffoni|3192-5576-5307-4916|3|1970|CqKvCsY@gmail.com
Matthew Sessoms|8140-8717-6699-4521|4|1957|YCpKsh@mail.polimi.it
Karim Benouaret|0000-0003-2634-0962|4|1958|UeMlm@outlook.it
Jean-Yves Thiriet|3681-1566-1248-7077|5|1970|YSFCn@tiscali.it
Adel Smeda|7317-1734-9849-8218|4|1942|dRIdDFr@tiscali.it
Jiawei Jiang|7568-7076-1396-0185|12|1982|bEQGR@tiscali.it
Charles Duchâteau|9850-7729-9030-7972|5|1969|naEhxm@mail.polimi.it
Marco Scotto|3824-1702-4740-5645|9|1940|xMmSOdp@tiscali.it
Frédéric Bergéron|6243-5894-5064-7716|9|1956|OQZNTY@gmail.com
Peter M. G. Apers|3148-2145-7136-2904|10|1958|rtWhvez@mail.polimi.it
Ba-Ngu Vo|8659-3427-9688-3426|4|1988|qqQLcK@gmail.com
Ulrich Güntzer|0272-3054-5956-9377|1|1977|oglua@gmail.com
Anne-Lise Courbis|5414-6259-7444-6629|7|1969|DqcTi@gmail.com
Kenneth A. Ross|8600-4095-7899-5155|4|1960|BHVuDCN@gmail.com
Yusuke Kozawa|0000-0002-9673-9058|2|1978|pWHFmQo@tiscali.it
Federico Vitale|0468-5257-8500-0137|1|1977|SqlyxBg@tiscali.it
William Sims Bainbridge|4669-8397-3248-8648|3|1978|HlxPAD@mail.polimi.it
Étienne André|6048-9394-6969-5519|3|1975|IrLccH@outlook.it
Luis Salgado|3136-4890-0310-8757|11|1955|KwwUL@mail.polimi.it
Thomas Fahringer|4325-7667-0682-9037|12|1956|IsNNjrV@gmail.com
Ching-Lai Hwang|9081-2194-7285-8224|5|1965|TehMZeg@outlook.it
Nicolas Stouls|0348-7207-3114-7437|1|1978|TMTcL@tiscali.it
Ajantha Dahanayake|5504-4547-6471-9693|11|1962|NhzOPGR@duck.com
Michèle Cart|2463-0000-2650-2662|10|1988|mlcly@mail.polimi.it
Nele Verbiest|1547-1921-2225-1274|8|1953|nNgse@mail.polimi.it
Torben Bach Pedersen|0000-0002-1615-777X|8|1941|fpXwqZI@duck.com
Nadia Nouali-Taboudjemat|0619-6152-1106-1541|8|1945|HvjvXlC@duck.com
Mateusz Jarus|0725-6972-1022-5804|9|1954|XueEt@duck.com
Mauro Barni|0816-2955-8705-2577|2|1952|ODrfe@duck.com
Ali Imam Abidi|4616-7805-1647-7541|10|1968|MmmbA@gmail.com
Manola Ricciuti|3036-9150-2446-8358|8|1977|QKdCMj@gmail.com
Frans Coenen|3802-5930-4418-5362|6|1987|UjDRBCJ@gmail.com
Roman Z. Morawski|2898-1260-8197-9420|1|1989|ibqNUjo@gmail.com
Dieter Fensel|4412-1695-4120-9327|9|1950|RCKun@outlook.it
Chee-Yong Chan|9780-9993-7325-5030|10|1962|HReFg@gmail.com
Arvind S. Krishna|8269-0515-6086-0294|3|1946|KZwNdJ@outlook.it
Lai Xu 0001|0000-0003-0063-759X|12|1987|NnypK@gmail.com
Vincent Leclercq|2245-6789-0685-1799|10|1956|wPCbeu@duck.com
Maria Semenyak|0169-4194-8836-3734|2|1972|OjUOmij@outlook.it
Justus Klingemann|8626-9270-4409-3924|7|1940|zZHGJM@duck.com
Tiezhen Wang|6102-0270-7861-3808|9|1978|EyMUzk@tiscali.it
Philipp Liegl|3758-2428-4420-3817|1|1984|BVhnlOD@gmail.com
Kjetil Nørvåg|9929-7172-2357-4815|10|1972|ynSKueW@tiscali.it
George Karabatis|4199-5067-7512-5173|8|1962|ylBobmU@outlook.it
Peter Kuchment|3834-3872-1169-6549|12|1977|WUVqe@gmail.com
Fabio Casati|1560-5578-0737-9178|1|1972|AaHkYB@mail.polimi.it
Husna Osman|6325-8523-1645-0219|8|1960|NGlDvB@duck.com
Stéphane Lafortune|9034-6372-4066-8238|10|1978|RISra@gmail.com
Thomas Villmann|1654-5840-2154-9646|12|1956|OzSqBEK@tiscali.it
Flaminia L. Luccio|0000-0002-5409-5039|1|1987|pHGuTXS@mail.polimi.it
Pushpak Bhattacharyya|3512-1336-4144-6280|8|1967|IZvRqI@tiscali.it
Jorge Martínez Gil|1208-5594-0438-5409|3|1940|oTlkdO@gmail.com
Nicholas R. Jennings|6208-8841-9463-8366|5|1953|BNvoyTl@tiscali.it
Ross S. Purves|2861-4757-2906-8125|1|1945|PXfNMC@gmail.com
Johann M. Márquez-Barja|0000-0001-5660-3597|9|1983|cQOTH@mail.polimi.it
Young-Kwang Nam|5709-8155-0939-6252|12|1988|eyQmWv@tiscali.it
Marc Dalmau|1439-4296-4771-7185|8|1951|KDLjSd@mail.polimi.it
Verena Kantere|0000-0002-3586-9406|1|1960|rqWsmh@outlook.it
Yannis Tzitzikas|8601-4432-4429-8944|1|1956|wHqCUE@outlook.it
Derick Wood|5013-3874-3511-3931|7|1987|BLhYx@outlook.it
Nicole Schweikardt|8777-6168-0701-6767|4|1955|XkAdymK@outlook.it
Gio Wiederhold|7247-1699-7359-7438|2|1984|JDKFe@duck.com
Marco Begolo|3049-0402-3939-1429|7|1973|GIxukn@duck.com
Jochen Renz|0105-2126-2498-8157|5|1978|PjsIJ@outlook.it
Luís E. T. Rodrigues|7110-9975-5746-9476|7|1971|OqfHEP@gmail.com
Michel Toulouse|0000-0003-0789-7829|2|1956|NtUqKq@tiscali.it
Alberto José Bugarín Diz|7110-6184-1970-8578|2|1975|fGAijb@duck.com
Laura Conti|4935-7056-4668-7741|10|1970|bPWwFse@mail.polimi.it
Shin'ichi Konomi|1436-4599-6525-6055|11|1942|SgKdj@outlook.it
Nélio Cacho|1761-0199-3354-6171|3|1986|EmZnn@gmail.com
Stratos Idreos|6988-7757-0893-8730|3|1958|KMLWjHm@outlook.it
Wolfgang Klas|2607-7449-9215-0471|12|1976|SiwmXa@gmail.com
Ralph Bergmann|8230-4435-3235-2765|3|1958|CvLVBq@tiscali.it
Ralf Müller|6375-7002-2904-1406|12|1945|EPimFl@gmail.com
Emna Fki|3814-3222-5136-0195|4|1976|GUCRM@gmail.com
Mehmet Altinel|8273-3995-5699-9038|5|1965|oznLbQ@tiscali.it
Paolo Moretti|4345-6609-5525-1401|1|1978|STSxJft@gmail.com
Werner Retschitzegger|1630-1208-0526-4758|6|1981|oyjMZRI@tiscali.it
Gerard Meszaros|8729-4788-0162-0710|8|1954|SSSNmD@tiscali.it
Yannis Vassiliou|3300-2315-2874-6207|1|1949|CjpgqF@tiscali.it
Ron Sun|6383-9661-7191-4960|2|1960|NWPgMRC@duck.com
Imen Filali|6001-2394-9102-5047|3|1945|zWDgV@tiscali.it
Celeste Pizarro|5897-7526-7905-1922|2|1955|LqktttU@gmail.com
Gabriel Ciobanu|8287-1988-6917-2927|10|1967|lBOYYgt@mail.polimi.it
Orit Hazzan|1738-3697-8171-1605|8|1974|oWLsIQw@duck.com
Paul Chapron|3462-3672-3433-3781|5|1957|pHWblu@duck.com
Franck Gechter|3599-9153-4050-1915|11|1961|vHBwi@gmail.com
Thomas Pötsch|2085-4166-3805-0605|4|1940|lxWBFrY@tiscali.it
Johannes Hund|4757-6896-9513-5813|2|1947|SoasiPM@mail.polimi.it
Sven Hartmann|0649-4800-1823-5138|8|1953|XEkBpPj@gmail.com
Sjoerd M. Verduyn Lunel|8859-6728-3431-8568|11|1989|QJxaC@gmail.com
Benjamin Gâteau|7233-8539-0971-5118|10|1956|cUbPta@tiscali.it
Guthemberg Silvestre|2742-0314-9064-2775|6|1967|xvAhkW@tiscali.it
Iván Pastor Sanz|0733-8053-4129-4454|9|1962|AWXhLbE@mail.polimi.it
Julien Maire|5411-8518-5337-0400|5|1960|ewlFwpo@duck.com
Slawomir Stanczak|9085-6402-6153-9288|1|1974|LFgHo@mail.polimi.it
Laaziz Lahlou|1429-8656-0357-5502|6|1948|pejnZ@tiscali.it
Wei Liu 0007|0706-6993-7643-8748|8|1973|mYdgYd@mail.polimi.it
Zhanzi Qiu|1913-0076-8258-4613|11|1972|SUGgKA@gmail.com
Deke Guo|5900-2583-3075-1719|8|1963|mzPMSO@mail.polimi.it
Andreas Geppert|4000-9805-3729-5710|6|1977|zCqDrSp@mail.polimi.it
Luis Rivera|5296-6216-9367-2401|7|1947|kdiaG@mail.polimi.it
Viktor K. Prasanna|7174-0456-0506-7575|5|1953|XxSBlC@tiscali.it
Joao Meidanis|3651-3651-7841-9263|11|1969|BHeRR@outlook.it
Shawn Bowers|8397-6933-9476-9800|9|1985|vuhgMn@tiscali.it
Ahmed Abdelgawad|3691-6867-4131-9360|9|1983|xSVddmX@tiscali.it
