name|orcid|month_of_birth|year_of_birth|mail|bio
Yun Shen|1267-6348-1767-1416|9|1977|IooQCXN@duck.com|Hearty Oatmeal
Michele Bezzi|1827-7841-6632-8388|2|1949|hcdew@duck.com|good
Russell Martin|2480-7688-8448-9709|2|1961|xqZnF@outlook.it|Mushy
Christiane Feder|0555-2679-1173-8856|8|1958|lqAUvTK@duck.com|Very good but next time I won't order the Variety Pack
Kevin S. Beyer|5695-8039-9107-7691|6|1976|qhslFE@tiscali.it|Same stuff
Wijnand Derks|8555-4395-9219-3717|8|1947|eBYQG@mail.polimi.it|Don't like it
Niranjan Suri|2498-8649-0529-5976|5|1981|pSiFOHn@mail.polimi.it|HOT!  And good!  Came back for more  :)
David Toman|0791-4984-6921-8371|11|1957|IARZNw@tiscali.it|You'll go nuts over Ass-Kickin' Peanuts.
Dimitrios Tsoumakos|3481-8758-3706-6751|5|1987|wNkyx@gmail.com|not ass kickin
Claudia Bauzer Medeiros|2717-4355-5557-1496|7|1949|eVeodvX@duck.com|Roasts up a smooth brew
Kurt Mehlhorn|2767-4696-9468-6376|8|1976|nTjwmRS@gmail.com|Our guests love it!
Zoran Majkic|9241-6001-5728-1206|12|1984|BAzUMa@outlook.it|Awesome Deal!
Jean-Michel Knippel|4005-6527-5666-3180|8|1978|KEnPk@duck.com|How can you go wrong!
Muhammad Usman Shahid Khan|0000-0002-7299-621X|2|1943|tdFunh@outlook.it|Awsome - Kids in neighborhood loved us!
N. Hamali|5004-1070-0562-8116|6|1958|BtTFQJa@duck.com|great deal.
Hamo Hayami|4337-0106-5268-2335|8|1974|vZUDVl@mail.polimi.it|Better price for this at Target
Eric Dubois 0001|0000-0003-1253-5283|9|1973|AfQavW@tiscali.it|pretty expensive
Nabil Mesbahi|8021-3279-9360-6844|7|1949|dzmLU@tiscali.it|stale product.
Daniel de Oliveira 0001|0000-0001-9346-7651|5|1985|bbBuJ@duck.com|Hammer Nutrition 's Fizz Rocks!
Tassadit Bouadi|0270-3085-5992-6034|9|1986|BnJPG@gmail.com|great source of electrolytes
Travell Perkins|1085-9003-3155-6159|7|1952|YtuLI@mail.polimi.it|Great for preventing cramps
Odysseas Papapetrou|8364-1639-2449-3808|9|1976|FBAxI@outlook.it|Low Carb Alternative to Gatorade
Christian Chiarcos|0000-0002-4428-029X|3|1978|xVDnBSR@duck.com|Taste is not so good.
Asya Willerval|6342-6899-7426-3132|6|1978|ouGbsq@tiscali.it|How much would you pay for a bag of chocolate pretzels?
Ramón Alvarez-Valdés|1666-6698-9043-0229|5|1971|xgiCq@outlook.it|pretzel haven!
Enrique Hernández-Orallo|7916-6729-6059-6141|4|1959|YmfNgy@outlook.it|Great Gummi!
Shaolei Ren|0000-0001-9003-4324|11|1955|IRWIEE@duck.com|Bigger then other brands
Antoni Kreczmar|3491-9776-5414-3565|5|1969|KjUXIT@gmail.com|Best ever latice tart
Manel Chenait|4500-2194-2341-3363|8|1989|tZgpXAC@duck.com|Warning!  WARNING!  -ALCOHOL SUGARS!
Gregory Biegel|3968-1508-4760-6582|4|1971|JmDZnaH@outlook.it|nothing special
Giovanni Livraga|0000-0003-2661-8573|2|1942|wnVpG@outlook.it|No Tea Flavor
Friederike Nickl|1998-8504-8056-2550|9|1946|jLwhLik@tiscali.it|Good
Kian-Lee Tan|8212-1600-6306-6435|10|1948|JfaIdSA@duck.com|Taste great
Pietro Manzoni|7898-2481-5257-5007|3|1982|diieA@duck.com|Order only in cold weather
Sara García-Herranz|0000-0002-4593-0776|1|1977|FIWFVkE@tiscali.it|this is the best
Volker Wehmeier|6423-9357-0536-9396|5|1989|QUvJt@mail.polimi.it|Delicious!
B. Muthuswamy|1069-5184-7536-8690|8|1966|pEXNg@duck.com|Great
Wookey Lee|8381-3889-9974-0593|10|1983|MXYSiR@outlook.it|Forget Molecular Gastronomy - this stuff rockes a coffee creamer!
Asad Waqar Malik|1622-6483-3408-9252|8|1940|dRNbWWU@outlook.it|Natural Balance Lamb and Rice
Olivier Vogel|0233-5253-2006-6271|11|1944|cJzfv@mail.polimi.it|INCREASED MY DOGS ITCHING
Reto Krummenacher|3809-0169-5749-0985|6|1986|XvPcd@gmail.com|Great food!
Christopher Richardson|0748-4110-4845-1142|5|1958|KFuMQT@duck.com|Great for my dogs allergies
Xin Qin|0200-1217-7806-6221|4|1956|XDiBJJn@mail.polimi.it|Great for stomach problems!
Frank Dürr|8606-9931-6241-7299|7|1961|TGMhltC@duck.com|Better life for you dog!
Eyke Hüllermeier|0419-7840-4433-0352|7|1973|uamhNab@outlook.it|Great Food
Shashi Shekhar|4059-1667-6981-5618|11|1959|ejiRK@outlook.it|Great food for my my dog who has a sensitive stomach.
Guy Denhière|3460-4376-8285-5594|9|1961|kEOSj@mail.polimi.it|Great dog food
Chuck Winters|9174-3257-3524-7770|8|1982|rjUEiqQ@mail.polimi.it|Mmmmm  Mmmmm good.
Joseph P. Loyall|4853-2410-5734-6869|7|1949|gEZRWJ@gmail.com|Great Dog Food!
Stefan Tai|8909-2079-0759-1156|2|1944|MugRtSm@duck.com|So convenient
Helmut Nechansky|0153-3862-8417-1885|10|1979|UaKGW@tiscali.it|Good healthy dog food
Maurizio Lenzerini|8365-7265-6189-8308|1|1966|CWJYLe@tiscali.it|Great dog food
John Gialelis|9712-2171-1912-2924|2|1977|MJdLVW@duck.com|Great allergy sensitive dog food, dogs love it
El-Ghazali Talbi|5773-4843-8382-2580|8|1955|ogRoL@duck.com|Perfect for our English Bulldog with Allergies
Stefano Paolozzi|0167-3053-7753-5573|11|1945|cvElpK@duck.com|Bad
Luciano Baresi|1420-8044-4758-5103|9|1989|gFdtT@gmail.com|Taste wise it is a 6 star item
Anne Mulkers|8904-4097-9986-9797|6|1976|iliFm@tiscali.it|Great Support
Eduardo Massad|0895-2699-3044-8073|7|1978|RklVTP@outlook.it|TART!
G. R. Kanagachidambaresan|6710-8662-0251-7292|6|1973|TDDdsd@outlook.it|Omaha Apple Tartlets
Cong Fang|4676-7846-7352-0938|10|1957|ymXHlL@tiscali.it|Loved these Tartlets
Denny Vrandecic|8300-9642-2400-8011|4|1980|MNEKoC@outlook.it|The best
Michal Kochlán|6443-0261-6272-6886|1|1985|NuJHul@mail.polimi.it|disappointing
Dirk Vermeir|5629-1528-0562-7954|3|1983|ggDGZp@tiscali.it|Wasting Vinegar on a Cucumber is a Shame!
Roosevelt Silva|4618-3106-1342-8998|9|1967|UsOQONE@gmail.com|Asparagus Bliss
C. Icdem|5306-8301-6666-5877|1|1968|GwiDtSr@outlook.it|My Idea of a Good Diet Food.
Daniel Neagu|0000-0002-7038-106X|5|1983|VVoTYyx@gmail.com|Low Carb Angel Food Puffs
Eric C. Jensen|7172-3670-3365-5348|1|1953|UCKya@duck.com|Delicious tea
Giulio Rossetti|0000-0003-3373-1240|12|1974|BPelIkc@duck.com|My every day green tea
José A. Ondiviela|0000-0001-6732-8754|11|1942|AbkDSD@gmail.com|the best tea ever... freah bright clean
Alberto Zanella|0000-0002-5385-0813|3|1978|cZDjNw@gmail.com|Tea review
Olivier Flauzac|6299-2694-7765-9747|6|1958|fQHxxH@duck.com|Wonderful Tea
François Poulet|6496-7059-8998-2426|7|1982|zEQBx@mail.polimi.it|Great cookies
Zheng Qin 0003|0901-8087-5564-6505|10|1962|mvVOmkf@outlook.it|Best everyday cookie!
Jolanta Dajda|5233-5091-9708-6526|1|1943|jkXZVlT@duck.com|So Far So Good
Genady Shevchenko|4402-9996-0272-7375|10|1953|QFqLR@duck.com|Best Cat Food
Václav Jirkovský|9891-5147-4160-5454|11|1961|gcclUqW@mail.polimi.it|Great food.
Tatiana E. Romanova|4708-2141-7238-6397|6|1963|KStwPYH@gmail.com|Perfect Cat Food For Older Cats!
Hong Va Leong|0000-0001-7682-9032|2|1956|LBzny@tiscali.it|Good for Feline UTI
Mimoun Malki|0000-0003-4466-2316|1|1986|sMOUAE@outlook.it|Palatable and healthy
Claudio Sterle|5467-8238-5232-4444|1|1968|IYBLw@mail.polimi.it|Healthy & They LOVE It!
Simant Dube|6148-9516-3235-6516|6|1983|tDRwm@mail.polimi.it|Wonderful food - perfect for allergic kitties
Bartek Kiepuszewski|7959-1435-5495-6903|11|1964|kfEWt@mail.polimi.it|Holistic select cat food
Xiaoyuan Xie|6348-5351-0608-4057|12|1972|bkbVLkw@tiscali.it|Tastes great. Love Hot & Spicy. Bad price here.
Elie F. Kfoury|5916-1700-4622-0634|3|1972|xljfHux@outlook.it|My favorite ramen
Etienne E. Kerre|9260-2874-2092-7730|10|1958|fhded@tiscali.it|It burns!
Frédéric DuBru|8740-7066-7926-1724|3|1981|FvKas@tiscali.it|Amazing to the last bite.
Rongquen Chen|1821-3830-2048-5304|1|1947|ljbPb@mail.polimi.it|Not for me
Marcos K. Aguilera|5584-1181-2896-6872|12|1947|Muffd@gmail.com|Great spicy flavor
Mourad Chabane Oussalah|1717-6236-5962-4394|3|1967|QmSUYfn@gmail.com|Great value and convenient ramen
Jun Wang 0002|0000-0002-1305-5735|4|1951|iHjVVM@tiscali.it|great flavor
Vikas Kumar 0005|9275-9751-8182-2536|9|1942|pgaviS@outlook.it|Tastes great, but is cheaper locally.
Carolyn B. Seaman|1971-5568-8607-4445|3|1986|jKGvJFj@mail.polimi.it|Tastes awesome & looks beautiful
Parvathi Chundi|0389-4711-2295-1194|11|1957|eHoTfvH@gmail.com|Happy Face
Yuri Malitsky|7357-1786-6980-0795|4|1968|WlKxb@duck.com|Simply the BEST!
Heinrich Wansing|0000-0002-0749-8847|9|1942|xQnMe@duck.com|Excellent Product/Life Saver
Rose Lockwood|1833-4918-5024-9587|5|1973|FeKUPV@mail.polimi.it|Nice snack
Domenico Saccà|0635-4445-5654-4966|11|1975|lYcMVe@gmail.com|Good Licorice
Gilad Zlotkin|7197-2954-7778-4068|1|1946|abhky@outlook.it|I love these!!!!!!!!
Carlotta Domeniconi|3745-1581-8995-5905|10|1979|yPohZT@tiscali.it|Great for the kids!
Rudi Studer|2225-5965-0563-9336|6|1959|gFCjkkZ@tiscali.it|Bite sized
Antanas Verikas|0000-0003-2185-8973|10|1965|JwmwuUf@gmail.com|Sweet with a nice kick!
Irina Perfilieva|4362-4652-1545-1194|9|1979|TCMriO@mail.polimi.it|BROKEN BOTTLE BOTTOMS!
Beata Beigman Klebanov|3980-9466-7643-3737|11|1977|WksMnII@tiscali.it|Love the salsa!!
Parisa Allahverdizadeh|4523-8378-6579-0712|7|1978|wGhZONP@gmail.com|Ehhh...
Ralf Jungclaus|6799-7286-9838-0847|11|1942|RVhJCln@tiscali.it|awesome cornmeal
Victor C. M. Leung|3494-6233-7742-7222|6|1942|YCSVhLV@outlook.it|GREAT marinade!
Jing Xiao 0001|1414-5303-4227-4420|3|1977|dORboc@gmail.com|Awesome stuff
J. Alfonso Briones-García|6779-7269-4770-1764|2|1940|IFGwcME@mail.polimi.it|tastes good
Bernhard Thalheim|1837-0249-6579-8350|9|1981|yZsWqse@mail.polimi.it|Rip off Price
Seo-Young Noh|0957-5297-8272-8343|12|1972|TLhaccC@gmail.com|JELL-O
Ciro Castiello|9561-4852-3493-4512|4|1960|LuQUz@mail.polimi.it|Great flavor of Jell-o.
Anders Kolstad|3885-6781-6055-6481|3|1988|PeuetLj@outlook.it|Great Deal
Donggang Liu|1805-7219-8641-6951|6|1974|HukbAA@outlook.it|Great tasting sea salt WITH iodine
Joseph A. Goguen|4907-7424-4767-6271|8|1981|pIQsj@tiscali.it|tastes very fresh
Brian A. Nixon|7580-0832-5035-1951|1|1940|tuXia@mail.polimi.it|Simple but good
Mark Greaves|0526-7070-9857-3436|10|1986|jyEle@mail.polimi.it|tasty!
Mario Barbacci|3973-4082-7900-6046|6|1963|GMOCsJ@outlook.it|Not the greatest tasting..
Dipankar Deb|7778-0338-9981-2635|6|1961|nyxvCk@tiscali.it|Not Bad
Martin Gaedke|0000-0002-6729-2912|1|1955|BZkTSF@outlook.it|Right size, taste
Philippe Cudré-Mauroux|3048-8108-3505-9171|6|1955|KzPVy@gmail.com|Tasteless but low calorie
Maroun Chamoun|2110-7903-8545-1611|9|1952|TAsYdTb@mail.polimi.it|This stuff is sooooo good!
Michael Behringer|7717-4203-8781-1510|12|1957|MnlDV@duck.com|Best Stuff Ever
Jacques Savoy|0268-0442-5047-8387|11|1955|DqxixeX@outlook.it|Very Low quality
D. Sundararajan|9903-3389-2796-2253|6|1987|oinCIb@outlook.it|Not Banana Runts
Mohsen Sharifi|0000-0003-4992-2500|6|1973|hPyEdr@mail.polimi.it|Banana Heads Not Banana Runts
Sergio Serusi|3070-6953-3452-4112|9|1948|HVhSv@gmail.com|Worked great!
Jun Fu 0001|2880-0271-3020-1662|4|1965|noqCW@tiscali.it|Ricore forever
Rajiv Ranjan|0000-0002-6610-1328|7|1987|zPmOWVq@tiscali.it|Delicious!
Susanna Spinsante|0000-0002-7323-4030|12|1943|MQuiK@gmail.com|Fluffy, Soft, Delicious and Sugary Sweet
Kun Xie 0002|0000-0002-8191-2786|8|1946|XsJwfjE@gmail.com|Great but not as good as it was back in the day as a teen
Jeffrey P. Bigham|7645-8795-1192-2616|7|1946|lItsvkn@gmail.com|EXCELLENT LEMON JUICE
Boris Ryabko|5895-7716-1483-7742|5|1970|iWgtVD@duck.com|Great Product
Liyang Xiao|0000-0003-0160-5450|6|1965|WglRLi@outlook.it|Handy
Raphaël Troncy|5695-4274-5957-5606|1|1949|JZAIDq@tiscali.it|ReaLemon Juice from Amazon.
Werner Nutt|0000-0002-9347-1885|11|1977|vgzcvj@gmail.com|relaxing, almost like something you smoke
María Luisa Martín Ruiz|0493-6341-8524-8347|11|1942|JzCoc@gmail.com|Never paid that much !
Jaime Lloret 0001|9079-0491-3791-0683|9|1954|RWIpDt@duck.com|Marley's Mellow Mood Lite - Half Tea Half Lemonade
Disha Sangar|9948-7602-2623-8986|5|1976|hbDHe@outlook.it|Great product to help you sleep
Ke Xu 0002|9246-3267-8393-7058|7|1975|vtHAH@mail.polimi.it|Perfect for gluten-free chocolate chip cookies
Frank Y. Shih|5912-2499-2751-6552|2|1975|NTIsS@duck.com|Garbonzo  Bean Flour
John Barnes|0971-7192-3348-5154|1|1978|wlosT@mail.polimi.it|yum falafel
Kemafor Anyanwu|0000-0002-9528-061X|7|1948|WnEyU@tiscali.it|Make a fresh fruit tart, light and beautiful
Reidar Conradi|6037-5310-1302-4469|10|1966|ytUtecL@tiscali.it|Miracle
Nacer Boudjlida|5777-2486-9529-4896|6|1964|frhNvtr@tiscali.it|not bad for instant healthy coffee
Simo Pöysä|1353-5188-8163-7242|4|1981|nSBiF@tiscali.it|It's ok
Shai Guday|6865-3492-7159-5507|9|1959|BgKFu@tiscali.it|I love it!
David Bermbach|0618-0766-3158-3924|1|1943|BBoeV@mail.polimi.it|great taste and has health benefits!
Awais Rashid|7822-8177-6730-8133|2|1969|HcwYgk@tiscali.it|Tastes Great. Arrived in 2 days!
Derrick L. Cogburn|0637-7513-7140-7783|10|1955|XbAWn@duck.com|Great for after lunch
S. Jacobi|3435-5190-3845-0864|5|1952|PgznxJ@mail.polimi.it|Nice little mints, but pricey.
Philippe Besnard|8147-1529-7257-9147|9|1958|OpcAwlQ@mail.polimi.it|Altoids mini mints tins
Thierry Villemur|7295-2147-7717-5156|7|1971|xbgbuSg@outlook.it|Altoids Smalls-Wintergreen
Corey Bufi|5414-9962-6004-3356|11|1963|VlUjs@outlook.it|Sugarfree...
Basel Solaiman|1894-9398-0022-4891|3|1961|THIrf@gmail.com|Tasty!!
Adil Fahad|9359-6382-5312-5916|1|1958|GIPHXUW@outlook.it|These mints are awesome!
Jean-Louis Lanet|7945-4869-2276-0857|2|1973|QWTmZ@duck.com|Altoids Smalls
Matteo Matteucci|4227-1581-0211-6172|11|1943|vgeDxr@tiscali.it|Love these! And reusable containers
Zakaria Aarab|4305-4898-3357-5457|5|1944|XmXAKIv@mail.polimi.it|Altoids
Zahi Jarir|0000-0002-6425-1031|11|1956|aCXEpY@tiscali.it|A huge hit at the office!
Luca Casini|0000-0002-3468-6974|8|1983|haxCNi@mail.polimi.it|Love 'em, they're great!
William McCune|5715-6095-5213-0415|9|1967|cBNzm@gmail.com|Love these!
Eric Yu 0001|4606-0614-4308-8203|12|1979|XcGDeQ@outlook.it|fresh!
Jacques Chabin|3363-7182-2415-0872|10|1950|TsQyRRX@tiscali.it|Wintergreen Me
Eric R. Schendel|0000-0002-0144-7256|2|1963|WuhGylI@gmail.com|These just don't do it for me as breath mints
Eric G. Manning|6351-0352-2959-1829|3|1972|jaQjPDm@duck.com|better than average, more expensive than average.
Henrik Loeser|5326-7802-4724-3011|4|1950|LNvLU@duck.com|My cat loves it!
Maxence Guesdon|2319-1838-4662-1184|8|1944|QVLcIi@duck.com|Great For Fat Cats and Senior Citizens
Jian Yang 0001|5124-0177-5062-6703|5|1987|aeaeL@outlook.it|Nearly killed the cats
Emanuele De Bernardi|0000-0001-6988-1721|4|1978|DPcZXgU@duck.com|CHANGED FORMULA MAKES CATS SICK!!!!
Slim Abdellatif|3330-6210-0107-2124|12|1947|zVUVdog@gmail.com|Best by the case
Lei Zhang 0038|3324-6660-4729-9978|11|1959|wjOuwNa@gmail.com|Looking for a different flavor?
Maomeng Su|0839-5901-6736-9753|5|1955|xJMyf@gmail.com|Price cannot be correct
Hang Zhao|1425-4520-0138-9663|2|1950|GXlPSMY@tiscali.it|More Hot/Spicy than McCormick's Brand
Debora Di Bartolo|8958-4142-3625-8650|6|1969|adlsY@gmail.com|Ahmad Loose Imperial Blend Tea is great for the price
Andrzej Jodlowski|2152-8168-4406-0200|8|1951|qETIv@tiscali.it|Nice tea
Robert Valette|6090-5538-1091-2452|7|1953|YEjoG@duck.com|A fragrant tea
N. Parameswaran|5836-1694-8232-9265|4|1955|ZymhPzP@mail.polimi.it|Best Ahmad Tea
Willy Susilo|0000-0002-1562-5105|3|1953|HNjsPAz@duck.com|My favorite tea
Oliver Günther 0001|4851-0704-6038-1482|6|1976|PWUqPex@duck.com|Best tea ever!
Md. Imran Alam|7451-3757-9240-4181|6|1973|lpJUht@mail.polimi.it|Not a real tea
Ipek Gursel Dino|7784-0592-6377-8738|11|1949|jsEPy@duck.com|DELICIOUS
Antonieta Martínez-Velasco|0000-0001-6535-1440|9|1958|JOXhH@gmail.com|Best Bloody Mary mixer
Scott D. Rudlosky|8141-6680-3951-1158|8|1989|vvQDJqP@tiscali.it|The Best
Da Ruan 0001|1861-0162-4350-7946|3|1980|YeUgdpL@duck.com|Mcclures bloody Mary mix
Zhong Li|4970-1819-3746-6387|4|1988|JMVns@gmail.com|Not Good
Ryan Cook|2315-0053-9575-5375|2|1961|Xwyil@mail.polimi.it|Love this tea!
A. Christy|2471-3324-3942-7689|6|1975|EFdSt@outlook.it|Really Nice Taste!
Sharad Mehrotra|0282-0805-4873-1307|10|1988|DMoNp@tiscali.it|just give me some watermelon and citron sea salt
Chi C. Ying|4569-8642-5879-9503|4|1964|ZucHNb@gmail.com|Furniture Polish Taste
Hans-Jürgen Bürckert|8515-2926-4773-7315|10|1951|ebDDTq@tiscali.it|Big tub o' salt
Leonardo Andrade Ribeiro|4278-0766-9662-6206|4|1988|XFIyn@mail.polimi.it|Taste is neutral, quantity is DECEITFUL!
Xingquan Zhu 0001|4674-0116-1032-4196|8|1940|AakpU@gmail.com|Eukanuba puppy small breed dog food
Shogo Nishida|6110-7151-4726-0842|6|1946|KfVpr@tiscali.it|High Quality... But it gave my dog wicked gas..
Michael A. Arbib|0286-1248-4622-8778|6|1950|GLKwgG@tiscali.it|Great tasting green tea and such a great deal.
David Buffoni|3192-5576-5307-4916|3|1970|IieXIF@gmail.com|OMG best chocolate jelly belly
Matthew Sessoms|8140-8717-6699-4521|4|1957|PYKpF@gmail.com|Excellent loose tea.
Karim Benouaret|0000-0003-2634-0962|4|1958|aTvEExS@gmail.com|Good anytime hot tea
Jean-Yves Thiriet|3681-1566-1248-7077|5|1970|bhWka@outlook.it|My everyday cup of Tea
Adel Smeda|7317-1734-9849-8218|4|1942|jkYko@tiscali.it|This is what you get in the store
Jiawei Jiang|7568-7076-1396-0185|12|1982|aJyefoN@mail.polimi.it|Ahmad Tea
Charles Duchâteau|9850-7729-9030-7972|5|1969|YuVVl@outlook.it|Disappointed
Marco Scotto|3824-1702-4740-5645|9|1940|RYOwG@duck.com|Wonderful!
Frédéric Bergéron|6243-5894-5064-7716|9|1956|dMDiosF@tiscali.it|Best way to buy kcups
Peter M. G. Apers|3148-2145-7136-2904|10|1958|kZqsAp@duck.com|delicious
Ba-Ngu Vo|8659-3427-9688-3426|4|1988|bOoxb@tiscali.it|keeps you out of the dentest chair
Ulrich Güntzer|0272-3054-5956-9377|1|1977|YnqSaFe@tiscali.it|Super!  SuperFoods are Super easy!
Anne-Lise Courbis|5414-6259-7444-6629|7|1969|mJygeN@outlook.it|Pok Chops
Kenneth A. Ross|8600-4095-7899-5155|4|1960|xlDahS@duck.com|Sad outcome
Yusuke Kozawa|0000-0002-9673-9058|2|1978|sEDkKP@outlook.it|Best Energy Shot For Me
Federico Vitale|0468-5257-8500-0137|1|1977|lBostup@duck.com|Don't Waste Your Money
William Sims Bainbridge|4669-8397-3248-8648|3|1978|cpAWwNU@gmail.com|If you can't handle caffeine, this is not for you.
Étienne André|6048-9394-6969-5519|3|1975|FOlLKb@tiscali.it|Yum, Yummy, Yummier
Luis Salgado|3136-4890-0310-8757|11|1955|xErmwQi@duck.com|Reeks like chemicals
Thomas Fahringer|4325-7667-0682-9037|12|1956|toaKw@outlook.it|Disappointed!
Ching-Lai Hwang|9081-2194-7285-8224|5|1965|rXEErFs@mail.polimi.it|Great for Gluten-free lifestyle!!
Nicolas Stouls|0348-7207-3114-7437|1|1978|gddPF@tiscali.it|my dog loves these
Ajantha Dahanayake|5504-4547-6471-9693|11|1962|swKRPXl@mail.polimi.it|YUMMY
Michèle Cart|2463-0000-2650-2662|10|1988|HFTVYm@mail.polimi.it|sugar in the raw
Nele Verbiest|1547-1921-2225-1274|8|1953|hiEMmuS@duck.com|Manufacturing Problems Diminish Product
Torben Bach Pedersen|0000-0002-1615-777X|8|1941|psawQBU@outlook.it|Good product but terrible agricultural practices
Nadia Nouali-Taboudjemat|0619-6152-1106-1541|8|1945|GRBVks@mail.polimi.it|Sugar in the raw
Mateusz Jarus|0725-6972-1022-5804|9|1954|TQVmvtH@tiscali.it|Sugar in the raw
Mauro Barni|0816-2955-8705-2577|2|1952|xHvFVY@tiscali.it|Lie!!!!
Ali Imam Abidi|4616-7805-1647-7541|10|1968|fkTbrg@tiscali.it|It's sugar..
Manola Ricciuti|3036-9150-2446-8358|8|1977|lHXfqf@outlook.it|Excellent but not perfect
Frans Coenen|3802-5930-4418-5362|6|1987|plWLxC@gmail.com|Good product
Roman Z. Morawski|2898-1260-8197-9420|1|1989|DIKNV@mail.polimi.it|You'll never use white sugar again.
Dieter Fensel|4412-1695-4120-9327|9|1950|VPqsBy@duck.com|Thanks for the review Scott
